Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,7,0.31,0.31,0.4737954431174278
100% Corpus,7,0.31,0.61,0.5195041968935119
100% Corpus,7,0.31,0.9099999999999999,0.5301587459413603
100% Corpus,7,0.31,symmetric,0.47763254879567757
100% Corpus,7,0.61,0.01,0.42904896312903434
100% Corpus,7,0.61,0.31,0.523480806842189
100% Corpus,7,0.61,0.61,0.45973141196223216
100% Corpus,7,0.61,0.9099999999999999,0.4930321345150455
100% Corpus,7,0.61,symmetric,0.4693164610081539
100% Corpus,7,0.9099999999999999,0.01,0.41987188984157603
100% Corpus,7,0.9099999999999999,0.31,0.46781562172467633
100% Corpus,7,0.9099999999999999,0.61,0.4717145207670054
100% Corpus,7,0.9099999999999999,0.9099999999999999,0.48722815096225036
100% Corpus,7,0.9099999999999999,symmetric,0.4955062691444008
100% Corpus,7,symmetric,0.01,0.44774418349960154
100% Corpus,7,symmetric,0.31,0.5208447162073017
100% Corpus,7,symmetric,0.61,0.5427277511884111
100% Corpus,7,symmetric,0.9099999999999999,0.4735199786959284
100% Corpus,7,symmetric,symmetric,0.5171522917239183
100% Corpus,7,asymmetric,0.01,0.4455879837931963
100% Corpus,7,asymmetric,0.31,0.4833751956024172
100% Corpus,7,asymmetric,0.61,0.39799604776358627
100% Corpus,7,asymmetric,0.9099999999999999,0.4549001113385666
100% Corpus,7,asymmetric,symmetric,0.4494160702970355
